Number,Project,Number,Status Date,Overall health,Functions on board,Solution,Resources,Risks on prod,Ok for Launch,Handover,Close and learn,GR1,GR2a,GR2b,GR3,GR4,Last WAR,WAR Tweet
PRJSTAT0075230,TCO - FIS - HLOHOVEC- STELLANTIS - CC2x/OV24 IP,PRJ0072518,6/1/2025,Green,,,,,,,,97,100,94,96,0,VERDADERO,"TCO running as expected, SOP for RHD succesfull (cw19/2025) "
PRJSTAT0075185,Atualização FCS x Notas Técnicas,PRJ0074508,5/30/2025,Yellow,,,,,,,,,,,,,VERDADERO,Waiting for SAP feedback
PRJSTAT0075209,FCS - FAS - SPW  - ME28 - GMD Implementation,PRJ0074870,5/30/2025,Green,,,,,,,,100,100,100,100,0,VERDADERO,Month end close to start Friday 30th
PRJSTAT0075167,wuhu New site create for T18 FAS Project,PRJ0074287,5/30/2025,Green,,,,,,,,100,100,100,100,0,VERDADERO,Update change record
PRJSTAT0075169,FOR_Pro4B contract review workflow improvement 3.0,PRJ0074994,5/30/2025,Green,,,,,,,,0,0,0,0,0,VERDADERO,UPDATING
PRJSTAT0075163,Preactor/Neo rollout Wuhan FIS 1922,PRJ0075173,5/30/2025,Green,,,,,,,,100,100,100,0,0,VERDADERO,Trial Run
PRJSTAT0075220,EWM QB Roll-out,PRJ0075323,5/30/2025,Green,,,,,,,,100,0,0,,0,VERDADERO,BBP development - Done
PRJSTAT0075225,TCO - FIS - PBC - Lucid Gravity DP,PRJ0074166,5/30/2025,Yellow,,,,,,,,100,100,84,20,0,VERDADERO,"Ongoing Integration, slower then planned"
PRJSTAT0075223,TCO - FCM - LOU - Ford - P702 MY26,PRJ0075355,5/30/2025,Green,,,,,,,,,,,,,VERDADERO,Configuration underway.  Project ongoing.
PRJSTAT0075166,Rayong FTM FIS Upgrade IJCoreOG  to IJCoreNG,PRJ0073648,5/30/2025,Green,,,,,,,,100,100,89,0,0,VERDADERO,updating
PRJSTAT0075178,FCS Customer Flow – FCM Bragança – Customer VW C006000000,PRJ0075552,5/30/2025,Green,,,,,,,,,,,,,VERDADERO,Kick off 
PRJSTAT0075170, E-supply retrofit project,PRJ0074625,5/30/2025,Green,,,,,,,,100,100,100,100,0,VERDADERO,2025/5/30
PRJSTAT0075210,NAO - Group - Bright Program - MXH - Support Chain Assistant,PRJ0074809,5/30/2025,Green,,,,,,,,100,100,100,0,0,VERDADERO,Project Ongoing - Handover and Tests ongoing
PRJSTAT0075183,Migrate Importsys to cloud,PRJ0074682,5/30/2025,Green,,,,,,,,,,,,,VERDADERO,Hypercare
PRJSTAT0075221,NAO - GBS - MXH - COFIDI 4.0 Migration ,PRJ0074294,5/30/2025,Green,Green,,,,,,,,,,,,VERDADERO,PDCA for Go Live in progress / Configuration on production server on going
PRJSTAT0075198,TCO - FIS - TARAZONA - VW216 IP,PRJ0075364,5/30/2025,Green,,,,,,,,0,0,0,0,0,VERDADERO,1. Kickoff planned for CW25 2025  2. TCO system running with machines for PT in CW51 2025 3. Go Live planned for MPT for CW23 2026 
PRJSTAT0075218,MII/ME SP22 Technical upgrade Dev & Pilot,PRJ0075000,5/30/2025,Green,,,,,,,,,,,,,VERDADERO,Week 19/20(20/05-27/05)
PRJSTAT0075162,Chengdu plant Preactor/ NEO deployment(1924 & 2293),PRJ0075172,5/30/2025,Green,,,,,,,,100,100,100,0,0,VERDADERO,Golive support and KPI follow up
PRJSTAT0075180,FCS Supplier Flow – Non-Consignment -FIS MateriAct - Triangular flow APM-MTA-Ourense,PRJ0075487,5/30/2025,Green,,,,,,,,,,,,,VERDADERO,EDI Setup done
PRJSTAT0075204,ITOP - GIT - NAO - Downgraded Modes for IT Applications,PRJ0075455,5/30/2025,Green,,,,,,,,,,,,,VERDADERO,Progressing with the flow charts and critical processes. Adding FLH to the list
PRJSTAT0075219,New consignment flow  ,PRJ0075177,5/30/2025,Green,,,,,,,,,,,,,VERDADERO,BBP and developments on going
PRJSTAT0075187,DRC module implementation,PRJ0075210,5/30/2025,Green,,,,,,,,100,0,0,0,0,VERDADERO,OSS Notes application on going
PRJSTAT0075184,Correção de cálculo de retenções,PRJ0075124,5/30/2025,Green,,,,,,,,,,,,,VERDADERO,Hypercare
PRJSTAT0075224,NAO – Group – Bright Program – MXH – Goods Receipt,PRJ0074987,5/30/2025,Green,,,,,,,,,,,,,VERDADERO,NAO – Group – Bright Program – MXH – Goods Receipt
PRJSTAT0075161,NAO - NEO & PREACTOR - Fraser XFQ - FIS,PRJ0075448,5/29/2025,Yellow,Yellow,Yellow,,,,,,90,0,0,0,0,VERDADERO,Project on-hold due lack of hardware 
PRJSTAT0075153,TCO - FAS - HJZ - NISSAN - H60E to IJCore NG,PRJ0074659,5/29/2025,Yellow,,,,,,,,100,89,0,0,0,VERDADERO,"Servers configuration is in progress, any delay could impact the project Go live."
PRJSTAT0075141,FCS rollout VIM SPOTLINE BOT - GBS PT & PL entities,PRJ0075269,5/29/2025,Green,,,,,,,,,,,,,VERDADERO,GoLive done for  PL scopes
PRJSTAT0075118,FOR_Installation and configuration of Sharpen360 Trace version 6 Assessment Tool on/in FORVIA HELLA server/VM,PRJ0075169,5/28/2025,Green,,,,,,,,95,100,100,100,0,VERDADERO,Application ready
PRJSTAT0075098,FCS Customer Flow – FCM Terni – New Flow with C010000037 FTP Torino,PRJ0075465,5/27/2025,Green,,,,,,,,,,,,,VERDADERO,Pending to check ASN with the new outbound.
PRJSTAT0075101,TCO – ZE – JANGAN – HKMC QZ Tank Relocation,PRJ0070243,5/27/2025,Green,,,,,,,,97,0,0,0,0,VERDADERO,W22
PRJSTAT0075089,FCS Customer flow - FCM Craiova -  Flow  with Krajugujevac STELLANTIS ,PRJ0075374,5/27/2025,Green,,,,,,,,,,,,,VERDADERO,MoM -  [FCS Customer Flow] [FCM Craiova: EDI with Krajugujevac STELLANTIS Serbia] [PRJ0075374  - DMND0031026 ] -  Follow up [#4]  [27.05.2025]
PRJSTAT0075064,CHANGZHOU FAS BYD New Plant,PRJ0074308,5/26/2025,Green,,,,,,,,100,100,95,100,0,VERDADERO,ok
PRJSTAT0075074,FOR_RACE@EA1,PRJ0075155,5/26/2025,Green,,,,,,,,0,0,0,0,0,VERDADERO,Composite roles implementation in progress
PRJSTAT0075075,FOR_RACE@HR Pilot,PRJ0074661,5/26/2025,Green,,,,,,,,100,100,100,100,0,VERDADERO,OI implementation in progress
PRJSTAT0075053,TCO - FIS - PFS - Lucid Gravity DP,PRJ0074167,5/23/2025,Yellow,,,,,,,,100,96,81,0,0,VERDADERO,"MPT is past due,  unit test still in progress, for cooling, pokayoke and punching machines - cooling is missing a cable to connect the PLC"
PRJSTAT0074991,FCS Customer flow - FAS Pisek - Porsche - Bentley Motors  C006000054,PRJ0075222,5/23/2025,Green,,,,,,,,,,,,,VERDADERO,MoM - Customer flow: FAS Pisek Porsche - Bentley Motors C006000054 1067 Pisek [follow up #9]: PRJ0075222 - DMND0029914 -  20.05.2025
PRJSTAT0074970,TCO - FIS - PFS - STELLANTIS - KM74,PRJ0075065,5/22/2025,Yellow,,,,,,,,100,100,100,85,0,VERDADERO,"Full test performed at line, MPT ran without traceability"
PRJSTAT0074857,Chemicals project Management Phase 1,PRJ0075096,5/16/2025,Green,,,,,,,,100,100,0,0,0,VERDADERO,"Data provision for UAT, SSO login, Interface set up (API consumption)"
PRJSTAT0074862,EWM - Upgrade to S/4,PRJ0074861,5/16/2025,Green,,,,,,,,0,0,0,0,0,VERDADERO,"PHASE 1 (ANALYSIS) COMPLETED, INITIATION OF PHASE 2"
PRJSTAT0074768,"TCO - FCM - MLADA - VW - MAR (L-MAR) 1.5 TSI HEV / PHEV Line 1, Line 2, Line 3, Line 4 (E11194B) - Hot End",PRJ0074655,5/14/2025,Yellow,Green,Green,Green,Green,,,,100,100,100,0,0,VERDADERO,On-Hold -> waiting for Line 2
PRJSTAT0074696,FOR_Gate Approval accountabilities in BG lighting development projects in SAP-BTP,PRJ0075312,5/9/2025,Green,Green,,,,,,,0,0,0,0,0,VERDADERO,Development started
PRJSTAT0074698,FOR_WHE - Interface between Arcadia and SAP PLM,PRJ0075313,5/9/2025,Green,,,,,,,,0,0,0,0,0,VERDADERO,Definition of requirements
PRJSTAT0074613,FCS Supplier Consignment Flow - FAS BG - Wave  1 - SSED division,PRJ0074813,5/7/2025,Green,,,,,,,,,,,,,VERDADERO,no progress
